50 deviation,90 deviation,130 deviation,type,participant
-9.76389327517873,-10.746081370181013,-3.146862777152708,active,ar_1908
-8.455762262188184,-11.425633192543126,-8.768713131477211,active,cp_1201
-2.801722950404793,-11.563192677951854,-6.781989542948891,active,cr_2106
-7.671043928004664,-4.694048449075361,-8.673983377918425,active,cr_2206
-4.68946715456304,-4.466000367289116,-16.434178291033316,active,fk_2510
0.3950979883221386,-4.437791163468209,-2.7536084262991762,active,ja_2610
-9.73864140688956,-8.182695543640243,-5.82372564586728,active,jl_0211
3.0808445886729765,-3.7017979358360225,-6.507795616285598,active,jy_2206
2.5131214394210826,-1.1160546137755767,1.544086985188821,active,ls_1201
-6.365425309858642,-7.260863667193944,-7.24874570944537,active,mc_2110
-3.085231875613484,-7.272856005968404,-14.439253164758778,active,ms_2410
-8.493418983940876,-10.505090050186624,-17.798871950529655,active,ns_1311
-2.112859579252895,-9.356161413099553,-12.847575108036411,active,oi_2006
-1.1879853700347152,-4.487057236061743,0.986500377533753,active,pa_2006
-8.683184779568666,-11.643335716344957,-7.117455424722486,active,pn_2106
-7.874620870278801,-5.761247188023145,-8.86576152916566,active,ps_2610
-4.330324326367742,-1.2524681289212491,0.49386576775866864,active,rk_1201
-6.015353475341943,-6.917578396401767,-10.593610221297087,active,sk_2410
-0.6443252241035857,5.153424251252217,0.022143719553355368,active,sm_2510
-17.632155101020984,-24.310900854443773,-1.0347686557011455,active,va_0202
