participant,exclusive,inclusive,awarenessRatio,active_means,prop_means,pred_means,awareness_score
ab_1905,8.355588829930262,27.031416819282033,0.7638797440857713,-13.801152232104988,-11.552335427715137,-2.2488168043898504,1
ac_2605,10.650242688168213,26.57767424139989,0.7139178453546697,-14.73995550350107,-11.473319644830603,-3.266635858670467,1
ah_2505,16.088127334177912,31.865368336164302,0.6645056401148263,-20.627874971261352,-26.30110172285914,5.673226751597788,3
ca_0205,14.580374800858474,34.99596709902228,0.70590055171268,0.6393767373034235,1.051580012037455,-0.4122032747340315,3
cl_1105,11.733917324922828,40.66933748447513,0.7760841885184109,-6.447706095461501,-6.636603186031557,0.18889709057005621,3
dp_2005,17.156124826278166,12.964896841774735,0.43042686216469295,-11.208604748907339,-3.5711195121093824,-7.637485236797957,3
dr_2705,16.941678666731825,37.47518225438518,0.6886685784523554,-10.838436783841145,-9.475530489771373,-1.3629062940697718,3
hf_1805,10.466204342077603,11.330114276163378,0.5198177946748029,-3.839993655114266,-0.48826378227413336,-3.351729872840133,3
ho_2405,4.667336224035081,28.708262157379842,0.8601572271245309,1.4467594376500905,0.34702041941760725,1.0997390182324833,3
hr_1305,15.069298690222476,23.589220523239213,0.6101946221216089,-7.657210209674627,-8.596571084601552,0.9393608749269244,3
jm_2605,12.878687609370546,20.760168810631527,0.617148471143843,-9.698147709109508,-3.5925157715202034,-6.105631937589305,1
jw_2505,9.458838396874226,27.6717330963808,0.7452547047762925,-11.798833388009813,-5.049682966316131,-6.749150421693682,3
ka_1905,5.5789944713833854,35.601864369987524,0.8645245721349881,-7.373888487293083,-3.859595785951736,-3.5142927013413474,3
mi_1905,6.059269766690504,18.993232796022717,0.7581371461185362,4.027674158320491,3.722532796135287,0.30514136218520393,3
mr_2405,21.19941418800376,35.589021204884034,0.6266948712121274,-20.925356000833784,-15.836779706959822,-5.088576293873961,3
ns_1905,23.942260329893287,37.137248199256355,0.6080148497189191,-13.251693891330826,-9.229923103498232,-4.021770787832594,3
ps_1705,12.147809541498274,28.55076249814525,0.701517548830328,-14.819514086729166,-12.053286747816786,-2.7662273389123797,3
ra_2505,17.38571228629487,38.269738333321314,0.6876188748318723,-11.645387444806353,-6.053881411644838,-5.591506033161515,3
sj_1805,22.53775330778532,39.21783882299954,0.6350491910100178,-14.950279640434914,-11.002002424405452,-3.948277216029462,0
sk_1705,15.112943749213038,33.92346263001811,0.6918015640800717,-6.797021019989228,-5.692198794770538,-1.1048222252186903,3
so_2405,9.856650057633534,23.260340286069713,0.7023687854682228,-9.55661792371509,-4.741645099484475,-4.8149728242306145,1
