participant,exclusive,inclusive,awarenessRatio
ag_1606,3.753979568511369,51.774503435209084,0.9323954236556427
ak_0106,3.572272668954639,50.4787292295764,0.9339092238167795
ap_1705,1.5686805342647414,57.53090539142464,0.9734569961922039
at_1605,8.442943367964132,45.51823809281349,0.8435367214096119
bg_0705,18.21610706582802,11.277492319116135,0.38237083822576945
cn_2205,10.705902110569681,48.70434141163974,0.819797033712419
da_1505,17.202488402133184,45.22526887263287,0.724441672212905
fm_1406,7.557803552361982,52.86214989220218,0.8749121255232953
he_0906,11.13543963829089,50.37056037175239,0.8189536039333952
im_1705,14.326326610737034,36.61444962351166,0.7187650509121001
mb_0206,21.51164295967015,49.158740811113624,0.6956059694052009
mp_0906,16.84657849364934,51.015234711504775,0.7517517187063633
mw_0706,19.49905898951082,36.90568121314036,0.6543010583958986
nj_3105,3.9217234400929843,37.10054325435759,0.9044001281230151
ns_2405,17.46560980991339,44.82702291349774,0.7196199767721588
pa_0906,12.279063688462838,43.60993635619046,0.7802955200727816
rr_2206,9.721363115898825,49.51767536084601,0.8358960009164381
sa_2106,15.345773037690378,46.27660893170528,0.7509707910136977
sd_2505,5.760981745175663,49.58299721908524,0.8959058988350677
sm_1805,7.219536115774844,45.4827528152985,0.8630128546178154
tp_2405,10.298187147934826,41.90869511733803,0.8027427285236489
vb_0706,29.93978287381687,19.911187196099668,0.3994142374395926
ym_2206,26.297786009931034,33.85450642046514,0.5628132370788544
ys_1605,16.703360695037162,38.19342381726255,0.6957315288421902
